"long_similar","long_identical","Q6_version","is_similar","is_identical","midterm_exam_1","course_final_score","Transfer_outcome","nPracticed_log","medTime_correct_log","med_lead_to_Exam_log","last_practice_to_Exam_log","fracLong_log","frac_correct_std"
"TRUE","FALSE","V1","TRUE","FALSE",3,77.52,"1",2.19722457733622,0,0.8696648905341,0.842165665557235,0.405465108108164,-0.581552662788649
"FALSE","FALSE","V2","FALSE","FALSE",5,80.37,"0",1.09861228866811,0,3.86241834297836,3.86241834297836,0.693147180559945,-0.581552662788649
"TRUE","TRUE","V1","TRUE","TRUE",4,94.96,"1",2.70805020110221,6.38856140554563,2.68305522799069,1.2133454105726,0.536493370514568,1.71301709442648
"TRUE","FALSE","V1","TRUE","FALSE",6,73.61,"0",2.39789527279837,6.4606866210189,1.3657372826303,0.980829253011726,0.470003629245736,0.703406401251824
"TRUE","FALSE","V2","TRUE","FALSE",8,94.43,"1",2.94443897916644,8.37332282099653,2.69880388163412,1.0718689636926,0.576613364303994,-0.224619589444073
"TRUE","FALSE","V2","TRUE","FALSE",0,77.78,"0",1.09861228866811,0,3.73120032475793,3.73120032475793,0.693147180559945,-0.581552662788649
"TRUE","FALSE","V2","TRUE","FALSE",3,68.37,"0",1.09861228866811,0,4.90795020862687,4.90795020862687,0.693147180559945,-0.581552662788649
"FALSE","FALSE","V1","FALSE","FALSE",4,87.96,"1",1.6094379124341,0,2.03137767619165,0.353001538572424,0.405465108108164,-0.581552662788649
"TRUE","FALSE","V2","TRUE","FALSE",7,90.61,"0",1.94591014905531,0,2.47396740419387,2.47356947808584,0.285178942233662,-0.581552662788649
"TRUE","FALSE","V2","TRUE","FALSE",3,63.3,"0",2.70805020110221,6.53087762772588,2.39369454288201,2.34418012197949,0.693147180559945,0.795189191540429
"TRUE","TRUE","V1","TRUE","TRUE",9,92.88,"0",1.6094379124341,7.13009851012558,3.22845755094129,3.19776567647208,0.693147180559945,1.02464616726194
"FALSE","FALSE","V2","TRUE","FALSE",0,58.13,"0",2.19722457733622,0,2.46073965135312,2.43509860664438,0,-0.581552662788649
"TRUE","TRUE","V2","TRUE","TRUE",3,70.27,"1",2.83321334405622,7.2086003379602,3.83977185532143,2.89796630298467,0.631271776841858,0.623096459749295
"TRUE","FALSE","V2","TRUE","FALSE",6,84.41,"0",3.2188758248682,6.82110747225646,2.61109051345939,2.51343111649785,0.65232518603969,1.02464616726194
"TRUE","FALSE","V2","TRUE","FALSE",4,79.6,"0",1.6094379124341,0,3.0099159304547,3.00256995435319,0.693147180559945,-0.581552662788649
"TRUE","FALSE","V1","TRUE","FALSE",5,89.23,"0",2.19722457733622,0,5.01815417852859,4.95386112015219,0.559615787935423,-0.581552662788649
"TRUE","FALSE","V2","TRUE","FALSE",0,33.21,"0",1.6094379124341,0,2.90406614058317,2.89154391016338,0.693147180559945,-0.581552662788649
"FALSE","FALSE","V1","TRUE","FALSE",3,70.13,"0",2.19722457733622,0,2.74539058629281,2.73784270490792,0.22314355131421,-0.581552662788649
"FALSE","FALSE","V2","FALSE","FALSE",8,91.23,"0",1.09861228866811,0,1.66071176218816,1.66071176218816,0.693147180559945,-0.581552662788649
"FALSE","FALSE","V1","TRUE","FALSE",4,69.05,"0",2.19722457733622,0,3.1335539289922,2.61076399617148,0.405465108108164,-0.581552662788649
"TRUE","FALSE","V2","TRUE","FALSE",5,94.25,"1",3.49650756146648,6.33150184989369,3.00020835206237,0.995101912298445,0.593326845277734,1.22542102101827
"TRUE","FALSE","V2","TRUE","FALSE",7,96.87,"0",3.49650756146648,6.07764224334903,0.969462815786395,0.771907014420593,0.559615787935423,-0.180002955276001
"FALSE","FALSE","V1","FALSE","FALSE",3,72.35,"0",1.09861228866811,0,2.84787655364131,2.84787655364131,0.693147180559945,-0.581552662788649
"FALSE","FALSE","V2","FALSE","FALSE",7,83.46,"1",1.09861228866811,0,0.950155245826911,0.950155245826911,0.693147180559945,-0.581552662788649
"TRUE","FALSE","V1","TRUE","FALSE",2,54.42,"0",2.94443897916644,5.38449506278909,2.77314412353148,2.74161033647729,0.693147180559945,0.489246557245079
